date,open,high,low,close,Volume USD
23/10/2024 0:00,67373.33,67406.73,67081.11,67124.67,1059227.36
22/10/2024 23:00,67684.36,67760.09,67273.79,67373.33,942700.2133
22/10/2024 22:00,67484.14,67797.38,67430,67684.36,1438115.051
22/10/2024 21:00,67497.32,67497.32,67358.6,67484.14,471378.6493
22/10/2024 20:00,67450.97,67550.08,67379.42,67497.32,765535.0218
22/10/2024 19:00,67336.97,67613.7,67300.01,67450.97,4452565.686
22/10/2024 18:00,67286.47,67499.38,67205.88,67336.97,1801137.254
22/10/2024 17:00,66930.53,67393.37,66894.42,67286.47,4955802.977
22/10/2024 16:00,67246.7,67246.7,66872.04,66930.53,4550717.585
22/10/2024 15:00,67504.07,67663.31,67071.32,67246.7,3778590.227
22/10/2024 14:00,66940.02,67640.98,66799.09,67504.07,5599339.16
22/10/2024 13:00,66919.99,67119.43,66583.12,66940.02,7709973.461
22/10/2024 12:00,67246.57,67408.18,66815.05,66919.99,2437018.691
22/10/2024 11:00,67137.75,67478.92,67116.34,67246.57,1175757.274
22/10/2024 10:00,66903.46,67192.74,66825.06,67137.75,900500.0167
22/10/2024 9:00,66894.18,67070.26,66717.75,66903.46,1506550.485
22/10/2024 8:00,67358.19,67358.19,66851.36,66894.18,1273198.9
22/10/2024 7:00,67519.04,67642.17,67330.59,67358.19,851621.0269
22/10/2024 6:00,67563.18,67790,67519.04,67519.04,1476571.806
22/10/2024 5:00,67460.86,67608.59,67412.76,67563.18,1096324.559
22/10/2024 4:00,67353.31,67460.86,67249.22,67460.86,267509.2801
22/10/2024 3:00,67285.06,67519.93,67280,67353.31,618236.1591
22/10/2024 2:00,67485.93,67668.6,67225.91,67285.06,711320.7483
22/10/2024 1:00,67160.35,67509.61,67050.16,67485.93,1076065.904
22/10/2024 0:00,67344.64,67398.69,66549.7,67160.35,3383103.859
21/10/2024 23:00,67759.28,67759.28,67343.03,67344.64,776442.5334
21/10/2024 22:00,67789.48,67873.72,67601.28,67759.28,4385424.994
21/10/2024 21:00,67728.18,67916.03,67662.13,67789.48,396056.2475
21/10/2024 20:00,67753.18,67841.54,67588,67728.18,772950.0425
21/10/2024 19:00,67288.34,67915.71,67284.92,67753.18,9310606.467
21/10/2024 18:00,67469.31,67469.31,67000.33,67288.34,4225017.862
21/10/2024 17:00,67288.86,67618,67214.38,67469.31,3954888.232
21/10/2024 16:00,67319.06,67319.06,66856.1,67288.86,4452398.75
21/10/2024 15:00,67237.95,67319.24,66800,67319.06,9785511.54
21/10/2024 14:00,67294.83,67600,66961.36,67237.95,9575750.283
21/10/2024 13:00,68183.25,68186.73,67037.6,67294.83,10656543.05
21/10/2024 12:00,68196.41,68291.56,68045.77,68183.25,2891343.218
21/10/2024 11:00,68255.1,68402.42,68170,68196.41,1411293.991
21/10/2024 10:00,68302.63,68438.86,68238.38,68255.1,607021.5827
21/10/2024 9:00,68268.12,68396.1,68108.55,68302.63,2445082.14
21/10/2024 8:00,68468.09,68647.24,68256.08,68268.12,1772901.442
21/10/2024 7:00,68665.99,68767.33,68458.93,68468.09,843121.5363
21/10/2024 6:00,69002.6,69112.96,68598.8,68665.99,1399851.264
21/10/2024 5:00,69010,69129.23,68927.36,69002.6,420809.3717
21/10/2024 4:00,68911.35,69010,68761.64,69010,503590.0745
21/10/2024 3:00,68694.77,68916,68571.23,68911.35,484510.2696
21/10/2024 2:00,69171.55,69228.19,68688.47,68694.77,1858367.417
21/10/2024 1:00,69118.94,69410,69079.5,69171.55,1404548.846
21/10/2024 0:00,68988.85,69410,68935.84,69118.94,3189790.164
20/10/2024 23:00,69145.99,69146.42,68893.5,68988.85,588381.2312
20/10/2024 22:00,68756.18,69349.99,68577.32,69145.99,3450663.462
20/10/2024 21:00,68797.59,68849.36,68651.37,68756.18,113043.7118
20/10/2024 20:00,68490.69,68883.47,68455.14,68797.59,171816.0238
20/10/2024 19:00,68589.3,68589.3,68482.35,68490.69,128839.9944
20/10/2024 18:00,68534.63,68625,68534.63,68589.3,175855.7427
20/10/2024 17:00,68480.14,68562.58,68410.85,68534.63,120735.1364
20/10/2024 16:00,68605.58,68625,68480.14,68480.14,386677.6809
20/10/2024 15:00,68626.86,68626.86,68352.76,68605.58,167205.2136
20/10/2024 14:00,68419.99,68740.84,68419.99,68626.86,696962.3626
20/10/2024 13:00,68246.36,68454.03,68200.01,68419.99,562630.219
20/10/2024 12:00,68406.45,68433.6,68246.36,68246.36,146314.7743
20/10/2024 11:00,68335.84,68430.13,68335.84,68406.45,15579.37813
20/10/2024 10:00,68423.31,68433.61,68300.01,68335.84,9305.082908
20/10/2024 9:00,68376.29,68423.31,68338.32,68423.31,42675.07243
20/10/2024 8:00,68364.1,68462.22,68302.13,68376.29,200354.1817
